AFUA_3G02070	AFUA_3G02080
AFUA_3G01260	AFUA_8G05420
AFUA_3G01260	AFUA_3G01250
AFUA_3G01110	AFUA_8G05330
AFUA_3G01110	AFUA_5G08890
AFUA_3G01110	AFUA_4G10460
AFUA_3G01110	AFUA_2G10070
AFUA_3G01110	AFUA_1G16750
AFUA_3G00870	AFUA_4G14030
AFUA_3G00870	AFUA_4G04140
AFUA_3G00690	AFUA_3G00710
AFUA_3G00520	AFUA_5G13050
AFUA_3G00490	AFUA_3G00480
AFUA_3G00230	AFUA_3G00220
AFUA_2G17880	AFUA_2G17930
AFUA_2G17800	AFUA_4G13990
AFUA_2G17800	AFUA_2G17810
AFUA_2G17800	AFUA_2G00500
AFUA_2G17240	AFUA_2G17230
AFUA_2G16230	AFUA_2G16220
AFUA_2G16040	AFUA_1G13900
AFUA_2G16040	AFUA_1G05310
AFUA_2G15980	AFUA_2G09080
AFUA_2G15260	AFUA_2G15250
AFUA_2G15110	AFUA_2G15090
AFUA_2G14800_nca	AFUA_7G06610
AFUA_2G14800_nca	AFUA_5G01430
AFUA_2G14240	AFUA_1G13720
AFUA_2G13540	AFUA_2G13290
AFUA_2G13440	AFUA_8G05630
AFUA_2G13440	AFUA_7G05340
AFUA_2G13440	AFUA_7G03840
AFUA_2G13440	AFUA_6G12400
AFUA_2G13440	AFUA_5G07100
AFUA_2G13440	AFUA_2G13430
AFUA_2G13380_nca	AFUA_5G07010
AFUA_2G13260	AFUA_3G07870
AFUA_2G13260	AFUA_2G17650
AFUA_2G13260	AFUA_2G17610
AFUA_2G13030	AFUA_5G13990
AFUA_2G13030	AFUA_1G06110
AFUA_2G12700	AFUA_3G14650
AFUA_2G12700	AFUA_3G02190
AFUA_2G11780	AFUA_2G09640
AFUA_2G10400	AFUA_2G10390
AFUA_2G09340	AFUA_2G09330
AFUA_2G09330	AFUA_5G14520
AFUA_2G09330	AFUA_4G09250
AFUA_2G09330	AFUA_3G03580
AFUA_2G09330	AFUA_2G09340
AFUA_2G09110	AFUA_6G13270
AFUA_2G08550	AFUA_2G15510
AFUA_2G08510	AFUA_4G08520
AFUA_2G07900	AFUA_5G03710
AFUA_2G07900	AFUA_4G13320
AFUA_2G06320	AFUA_6G05040
AFUA_2G06320	AFUA_2G06140
AFUA_2G06320	AFUA_1G04900
AFUA_2G05210	AFUA_2G02450
AFUA_2G04840	AFUA_3G04060
AFUA_2G04262	AFUA_2G04240
AFUA_2G04262	AFUA_2G04220
AFUA_2G04262	AFUA_2G04210
AFUA_2G03560	AFUA_1G09640
AFUA_2G03030	AFUA_3G10240
AFUA_2G03030	AFUA_2G16420
AFUA_2G03020	AFUA_5G00700
AFUA_2G02990	AFUA_2G01310
AFUA_2G00730	AFUA_2G00740
AFUA_2G00570	AFUA_5G14240
AFUA_2G00100	AFUA_3G11040
AFUA_2G00100	AFUA_1G06500
AFUA_1G17360	AFUA_7G02070
AFUA_1G17360	AFUA_4G08410
AFUA_1G17010	AFUA_6G13570
AFUA_1G16760	AFUA_5G14240
AFUA_1G16730	AFUA_7G01710
AFUA_1G16730	AFUA_6G02570
AFUA_1G16590	AFUA_6G09600
AFUA_1G15120	AFUA_6G12910
AFUA_1G15120	AFUA_4G12210
AFUA_1G15120	AFUA_4G08300
AFUA_1G15120	AFUA_4G07230
AFUA_1G15120	AFUA_3G13920
AFUA_1G15120	AFUA_3G10290
AFUA_1G15120	AFUA_3G09020
AFUA_1G15120	AFUA_2G10730
AFUA_1G14460	AFUA_1G11830
AFUA_1G13900	AFUA_2G16040
AFUA_1G13780	AFUA_3G05360
AFUA_1G13780	AFUA_3G05350
AFUA_1G13750	AFUA_5G14230
AFUA_1G13710	AFUA_8G04800
AFUA_1G12590	AFUA_3G01110
AFUA_1G12570	AFUA_2G03210
AFUA_1G12080	AFUA_8G04030
AFUA_1G12080	AFUA_1G12090
AFUA_1G10750	AFUA_6G07670
AFUA_1G10510	AFUA_1G06340
AFUA_1G09670	AFUA_1G11900
AFUA_1G09670	AFUA_1G07700
AFUA_1G09500	AFUA_5G11970
AFUA_1G09500	AFUA_5G09630
AFUA_1G09500	AFUA_3G07600
AFUA_1G04660	AFUA_3G06970
AFUA_1G04140	AFUA_5G08810
AFUA_1G04140	AFUA_1G04150
AFUA_1G03800_nca	AFUA_8G00580
AFUA_1G03800_nca	AFUA_8G00570
AFUA_1G03800_nca	AFUA_8G00560
AFUA_1G03800_nca	AFUA_8G00550
AFUA_1G03800_nca	AFUA_8G00540
AFUA_1G03800_nca	AFUA_8G00530
AFUA_1G03800_nca	AFUA_8G00520
AFUA_1G03800_nca	AFUA_8G00510
AFUA_1G03800_nca	AFUA_8G00500
AFUA_1G03800_nca	AFUA_8G00490
AFUA_1G03800_nca	AFUA_8G00480
AFUA_1G03800_nca	AFUA_8G00440
AFUA_1G03800_nca	AFUA_8G00430
AFUA_1G03800_nca	AFUA_8G00400
AFUA_1G03800_nca	AFUA_8G00390
AFUA_1G03800_nca	AFUA_8G00380
AFUA_1G03800_nca	AFUA_8G00370
AFUA_1G03800_nca	AFUA_6G03490
AFUA_1G03780	AFUA_1G03770
AFUA_1G02680	AFUA_6G10440
AFUA_1G02680	AFUA_2G09230
AFUA_1G02680	AFUA_2G05930
AFUA_1G02570	AFUA_1G06040
AFUA_1G02570	AFUA_1G02580
AFUA_1G02460	AFUA_3G14370
AFUA_1G02190	AFUA_5G04320
AFUA_1G02030	AFUA_2G10380
AFUA_1G02030	AFUA_1G14120
AFUA_1G02030	AFUA_1G09970
AFUA_1G02030	AFUA_1G09330
AFUA_1G00630	AFUA_6G11640
AFUA_1G00630	AFUA_5G01210
AFUA_1G00630	AFUA_5G00170
AFUA_1G00630	AFUA_3G02530
AFUA_1G00630	AFUA_1G00790
AFUA_1G00630	AFUA_1G00650
AFUA_1G00630	AFUA_1G00250
AFUA_8G06140	AFUA_1G17530
AFUA_8G06140	AFUA_1G00760
AFUA_8G05460	AFUA_8G05470
AFUA_8G05460	AFUA_1G17630
AFUA_8G05430	AFUA_1G16940
AFUA_8G04000	AFUA_3G05450
AFUA_8G03990	AFUA_5G05690
AFUA_8G03970	AFUA_8G03980
AFUA_8G02170	AFUA_8G02160
AFUA_8G00100	AFUA_3G00630
AFUA_8G00100	AFUA_2G17970
AFUA_8G00100	AFUA_2G00840
AFUA_8G00100	AFUA_1G02310
AFUA_7G06200	AFUA_8G07310
AFUA_7G06200	AFUA_6G14560
AFUA_7G06200	AFUA_6G11600
AFUA_7G06200	AFUA_3G03080
AFUA_7G05960	AFUA_6G14320
AFUA_7G05960	AFUA_6G02190
